Feature,PC1_weight
Q13,0.19914769564041154
Q23,0.19764052157503487
Q16,0.19689759511304042
Q19,0.1963085225999056
Q14,0.19628499079382725
Q20,0.19512390613106204
Q26,0.19470139580777557
Q22,0.1943215277488109
Q24,0.19417368579385716
Q15,0.1939131027969303
Q18,0.19324180768453067
Q25,0.19316824266153612
Q10,0.19307759943486935
Q5,0.19265823706729146
Q21,0.19113801049874776
Q6,0.1901170964802554
Q28,0.18857313822596655
Q2,0.18712623786151938
Q7,0.1867228577149515
Q3,0.1863993076752867
Q27,0.18543801578976632
Q8,0.18502444560021516
Q4,0.18219070489073716
Q12,0.17993924302758635
Q9,0.17662188601957846
Q17,0.17618939760891802
Q11,0.17420203842061519
Q1,0.16643976290795176
